id,xmin,ymin,xmax,ymax
0.png,6690.0,3599.0,7164.0,3850.0
0.png,6772.0,3386.0,7039.0,3546.0
0.png,6705.0,3291.0,7060.0,3485.0
0.png,6230.0,3442.0,6597.0,3647.0
0.png,5501.0,790.0,5552.0,868.0
0.png,2076.0,3189.0,2634.0,3797.0
0.png,6195.0,3530.0,6246.0,3565.0
1.png,613.0,18.0,619.0,31.0
1.png,668.0,33.0,681.0,39.0
1.png,666.0,26.0,680.0,34.0
1.png,803.0,584.0,852.0,696.0
1.png,788.0,1585.0,815.0,1676.0
2.png,161.0,489.0,192.0,506.0
2.png,171.0,630.0,209.0,653.0
3.png,1889.0,1463.0,2283.0,1526.0
3.png,3953.0,1842.0,4079.0,1873.0
3.png,3500.0,1998.0,3551.0,2035.0
3.png,1.0,1812.0,79.0,1863.0
3.png,1.0,1832.0,98.0,1891.0
3.png,1399.0,1504.0,1602.0,1533.0
3.png,2334.0,1440.0,2759.0,1511.0
3.png,3786.0,3784.0,3837.0,3843.0
3.png,3779.0,2000.0,3911.0,2020.0
3.png,1123.0,1514.0,1263.0,1539.0
3.png,891.0,1513.0,1048.0,1544.0
3.png,531.0,1639.0,637.0,1663.0
3.png,544.0,1626.0,634.0,1644.0
3.png,546.0,1611.0,652.0,1628.0
3.png,397.0,1613.0,509.0,1628.0
3.png,393.0,1630.0,496.0,1647.0
3.png,389.0,1647.0,494.0,1667.0
3.png,517.0,513.0,559.0,636.0
3.png,2869.0,1453.0,3150.0,1498.0
3.png,3261.0,1458.0,3430.0,1487.0
3.png,3542.0,1423.0,3920.0,1482.0
3.png,3303.0,1944.0,3370.0,1964.0
3.png,3459.0,1917.0,3563.0,1937.0
3.png,3421.0,1937.0,3578.0,1964.0
3.png,3612.0,1907.0,3732.0,1938.0
3.png,3621.0,1926.0,3747.0,1957.0
3.png,3862.0,1928.0,3944.0,1948.0
3.png,3637.0,1999.0,3690.0,2013.0
4.png,747.0,2772.0,769.0,2787.0
4.png,1007.0,2040.0,1032.0,2078.0
4.png,966.0,2064.0,1006.0,2107.0
4.png,680.0,2045.0,702.0,2074.0
4.png,1084.0,3908.0,1106.0,3945.0
4.png,1054.0,49.0,1092.0,64.0
4.png,996.0,238.0,1022.0,256.0
4.png,1636.0,442.0,1658.0,469.0
4.png,1809.0,432.0,1838.0,465.0
4.png,1795.0,422.0,1825.0,458.0
4.png,1770.0,379.0,1795.0,407.0
4.png,1826.0,185.0,1846.0,212.0
4.png,1720.0,189.0,1741.0,225.0
4.png,1250.0,199.0,1290.0,218.0
4.png,668.0,1951.0,686.0,1977.0
4.png,1662.0,394.0,1689.0,438.0
4.png,3566.0,959.0,3577.0,991.0
4.png,3597.0,833.0,3623.0,851.0
4.png,3183.0,1921.0,3211.0,1960.0
4.png,3028.0,3410.0,3038.0,3428.0
4.png,1046.0,504.0,1079.0,564.0
4.png,121.0,1694.0,134.0,1706.0
4.png,573.0,1784.0,588.0,1810.0
4.png,541.0,1851.0,572.0,1874.0
4.png,174.0,1736.0,206.0,1761.0
4.png,145.0,1716.0,161.0,1743.0
4.png,152.0,1724.0,169.0,1747.0
4.png,1009.0,301.0,1032.0,319.0
4.png,1578.0,2890.0,1592.0,2906.0
4.png,1634.0,3113.0,1665.0,3144.0
4.png,1611.0,3033.0,1643.0,3059.0
4.png,1619.0,3018.0,1648.0,3046.0
4.png,1591.0,2886.0,1616.0,2915.0
4.png,1515.0,2790.0,1550.0,2830.0
4.png,1505.0,2825.0,1539.0,2859.0
4.png,821.0,3199.0,842.0,3225.0
4.png,1561.0,3589.0,1619.0,3622.0
